category,name,optional,type
Biomasseanlage,Strom-/Wärmeerzeugung (Strom/Wärme/Strom + Wärme),FALSE,text
Biomasseanlage,Brennstofftyp (fest/flüssig/gasförmig),FALSE,text
Biomasseanlage,Inbetriebnahmedatum,FALSE,text
Biomasseanlage,Hauptbrennstoff,TRUE,text
Biomasseanlage,weitere Brennstoffe,TRUE,text
Biomasseanlage,Elektrische Leistung,TRUE,text
Biomasseanlage,Jährliche Stromproduktion,TRUE,text
Biomasseanlage,Nennwärmeleistung Biomasse,TRUE,text
Biomasseanlage,Jährlich genutzte Wärmemenge,TRUE,text
Biomasseanlage,Führung bei Anlagen mit KWK,TRUE,text
Biomasseanlage,Anlagenschlüssel,TRUE,text
Biomasseanlage,Bürgerenergieanlage (ja/nein),TRUE,text
Biomasseanlage,Link zur Webseite,TRUE,text
Biomasseanlage,Name der Webseite,TRUE,text
Biomasseanlage,Stand,TRUE,text
Biomethananlage,Name der Anlage,FALSE,text
Biomethananlage,Technologie,FALSE,text
Biomethananlage,Gaserzeugungsleistung (kW),FALSE,text
Biomethananlage,Inbetriebnahmedatum,FALSE,text
Biomethananlage,MaStR-Nr.,TRUE,text
Biomethananlage,Anlagenbetreiber,TRUE,text
Biomethananlage,Netzbetreiberprüfung (geprüft/ungeprüft/abgelehnt),TRUE,text
Biomethananlage,Stand,TRUE,text
Photovoltaikanlage,Leistung (kW),FALSE,text
Photovoltaikanlage,Inbetriebnahmedatum,FALSE,text
Photovoltaikanlage,Freiflächenanlage (ja/nein),TRUE,text
Photovoltaikanlage,Anlagenschlüssel,TRUE,text
Photovoltaikanlage,Bürgerenergieanlage (ja/nein),TRUE,text
Photovoltaikanlage,Link zur Webseite,TRUE,text
Photovoltaikanlage,Name der Webseite,TRUE,text
Photovoltaikanlage,Stand,TRUE,text
Wasserkraftanlage,Kraftwerkstyp (Lauf-/Speicherkraftwerk),FALSE,text
Wasserkraftanlage,Leistung (kW),FALSE,text
Wasserkraftanlage,Jährliche Stromproduktion,FALSE,text
Wasserkraftanlage,Inbetriebnahmedatum,FALSE,text
Wasserkraftanlage,Turbinentyp,FALSE,text
Wasserkraftanlage,Generatortyp,FALSE,text
Wasserkraftanlage,Art der Fischaufstiegsanlage,TRUE,text
Wasserkraftanlage,Einrichtung für Fischschutz/-abstieg,TRUE,text
Wasserkraftanlage,Ausbaupotenzial vorhanden (ja/nein),TRUE,text
Wasserkraftanlage,Bürgerenergieanlage (ja/nein),TRUE,text
Wasserkraftanlage,Link zur Webseite,TRUE,text
Wasserkraftanlage,Name der Webseite,TRUE,text
Wasserkraftanlage,Stand,TRUE,text
Windenergieanlage,Leistung,FALSE,text
Windenergieanlage,Inbetriebnahmedatum,FALSE,text
Windenergieanlage,Hersteller + Typ,FALSE,text
Windenergieanlage,Rotordurchmesser,FALSE,text
Windenergieanlage,Nabenhöhe,FALSE,text
Windenergieanlage,Gesamthöhe,TRUE,text
Windenergieanlage,Anlagenschlüssel,TRUE,text
Windenergieanlage,Kleinwindkraftanlage (ja/nein),TRUE,text
Windenergieanlage,Bürgerenergieanlage (ja/nein),TRUE,text
Windenergieanlage,Link zur Webseite,TRUE,text
Windenergieanlage,Name der Webseite,TRUE,text
Windenergieanlage,Stand,TRUE,text
Heiz(kraft)werk - fossil,Energieerzeugung (Strom/Wärme/Strom + Wärme),FALSE,text
Heiz(kraft)werk - fossil,Hauptbrennstoff (Gas/Heizöl/Kohle),FALSE,text
Heiz(kraft)werk - fossil,Inbetriebnahmedatum,FALSE,text
Heiz(kraft)werk - fossil,Anlagenschlüssel,TRUE,text
Heiz(kraft)werk - fossil,Führung bei Anlagen mit KWK,TRUE,text
Heiz(kraft)werk - fossil,weitere Brennstoffe,TRUE,text
Heiz(kraft)werk - fossil,Elektrische Leistung,TRUE,text
Heiz(kraft)werk - fossil,Nennwärmeleistung,TRUE,text
Heiz(kraft)werk - fossil,Art der Anlage,TRUE,text
Heiz(kraft)werk - fossil,Link zur Webseite,TRUE,text
Heiz(kraft)werk - fossil,Name der Webseite,TRUE,text
Heiz(kraft)werk - fossil,Stand,TRUE,text
Abfallheiz(kraft)werk,Name der Anlage,FALSE,text
Abfallheiz(kraft)werk,Betreiber,FALSE,text
Abfallheiz(kraft)werk,Hauptbrennstoff,FALSE,text
Abfallheiz(kraft)werk,elektrische Leistung (kW),FALSE,text
Abfallheiz(kraft)werk,Thermische Leistung (kW),FALSE,text
Abfallheiz(kraft)werk,Energieerzeugung (Strom/Wärme/Strom + Wärme),FALSE,text
Abfallheiz(kraft)werk,Inbetriebnahmedatum,FALSE,text
Abfallheiz(kraft)werk,Nebenbrennstoff,TRUE,text
Abfallheiz(kraft)werk,Art der Anlage,TRUE,text
Abfallheiz(kraft)werk,Bezeichnung vierte BImSchV,TRUE,text
Abfallheiz(kraft)werk,Stand,TRUE,text
Wärmenetz,Netztyp (Wassernetz/Dampfnetz),FALSE,text
Wärmenetz,Netzlänge (km),FALSE,text
Wärmenetz,Vorlauftemperatur (°C),FALSE,text
Wärmenetz,Erweiterungsmöglichkeit (Wärmequellen und/oder -abnehmer),FALSE,text
Wärmenetz,Inbetriebnahmejahr,FALSE,text
Wärmenetz,Energieträger der Wärmequelle,FALSE,text
Wärmenetz,Anlagenschlüssel,TRUE,text
Wärmenetz,Objektnummer der Wärmequelle,TRUE,text
Wärmenetz,Primärenergiefaktor,TRUE,text
Wärmenetz,Versorgte Objekte,TRUE,text
Wärmenetz,Link zur Webseite,TRUE,text
Wärmenetz,Name zur Webseite,TRUE,text
Wärmenetz,Name des Betreibers,TRUE,text
Wärmenetz,Anschrift des Betreibers,TRUE,text
Wärmenetz,Ansprechpartner,TRUE,text
Wärmenetz,Ansprechpartner Telefon,TRUE,text
Wärmenetz,Ansprechpartner E-Mail,TRUE,text
Wärmenetz,Stand,TRUE,text
Kommunale Wärmeplanung, Link zur Webseite,FALSE,text
Kommunale Wärmeplanung, Name der Webseite,TRUE,text
Anlage Tiefe Geothermie,Energieerzeugung (Strom/Wärme/Strom + Wärme),FALSE,text
Anlage Tiefe Geothermie,Nennwärmeleistung,FALSE,text
Anlage Tiefe Geothermie,Inbetriebnahmedatum,FALSE,text
Anlage Tiefe Geothermie,Anlagenschlüssel,TRUE,text
Anlage Tiefe Geothermie,Führung bei Anlagen mit KWK,TRUE,text
Anlage Tiefe Geothermie,Elektrische Leistung,TRUE,text
Anlage Tiefe Geothermie,Fließrate,TRUE,text
Anlage Tiefe Geothermie,Temperatur,TRUE,text
Anlage Tiefe Geothermie,Teufe,TRUE,text
Anlage Tiefe Geothermie,Anzahl Bohrungen,TRUE,text
Anlage Tiefe Geothermie,Link zur Webseite,TRUE,text
Anlage Tiefe Geothermie,Name der Webseite,TRUE,text
Anlage Tiefe Geothermie,Stand,TRUE,text
Sonstige Kategorie,Anlagentyp,FALSE,text
